_id,gkg_record_id,document_identifier,source_url,source_common_name,gkg_date,crawled_at,run_id,status,http_status,final_url,error,title,author,date,language,text,text_length
6a9ae5bcd419491408214551,20150218220000-384,http://www.sacmag.com/Go-Do/Go-Do-Blog/Winter-Spring-2015/Sacramento-Zoo-Texas-Holdem-Showdown-Poker-Tournament/,http://www.sacmag.com/Go-Do/Go-Do-Blog/Winter-Spring-2015/Sacramento-Zoo-Texas-Holdem-Showdown-Poker-Tournament/,sacmag.com,2015-02-18T22:00:00.000Z,2026-09-04T15:33:56.358003+00:00,run_20260904T153135Z_39282a1e,http_error,404,https://www.sacmag.com/Go-Do/Go-Do-Blog/Winter-Spring-2015/Sacramento-Zoo-Texas-Holdem-Showdown-Poker-Tournament,HTTP 404,,,,,,
6a9ae5bcd419491408214552,20150218223000-462,http://www.heraldsun.com/news/showcase/x2133899646/UNC-panel-favors-eliminating-poverty-center,http://www.heraldsun.com/news/showcase/x2133899646/UNC-panel-favors-eliminating-poverty-center,heraldsun.com,2015-02-18T22:30:00.000Z,2026-09-04T15:33:59.077181+00:00,run_20260904T153135Z_39282a1e,http_error,404,https://www.heraldsun.com/news/showcase/x2133899646/UNC-panel-favors-eliminating-poverty-center/,HTTP 404,,,,,,
6a9ae5bcd419491408214553,20150219003000-1337,http://www.thehindu.com/news/national/kerala/farming-workshop-for-journalists/article6911179.ece,http://www.thehindu.com/news/national/kerala/farming-workshop-for-journalists/article6911179.ece,thehindu.com,2015-02-19T00:30:00.000Z,2026-09-04T15:34:02.050452+00:00,run_20260904T153135Z_39282a1e,success,200,https://www.thehindu.com/news/national/kerala/farming-workshop-for-journalists/article6911179.ece,,Farming workshop for journalists,Staff Reporter,2015-02-19,en,"Puthari-2015, a State-level residential workshop organised by the Farm Information Bureau (FIB) for journalists, will be held at the Community Biodiversity Centre Auditorium of the M.S. Swaminathan Research Foundation at Puthurvayal here from Friday to Sunday.\nMinister for Agriculture K.P. Mohanan will inaugurate the programme at 5 p.m. on Friday.\nYouth Affairs Minister P.K. Jayalakshmi will preside over the function.\nMr. Mohanan will also release a special edition of Kerala Karshakan on the occasion.\nExperts will lead classes on various topics related to agriculture and allied sectors, FIB Principal Information Officer said in a press release here.\nPublished - February 19, 2015 12:00 am IST",700
6a9ae5bcd419491408214554,20150219004500-1380,http://www.dallasnews.com/lifestyles/home-and-gardening/headlines/20150218-garden-calendar-have-you-pruned-your-roses-yet-do-you-know-how.ece,http://www.dallasnews.com/lifestyles/home-and-gardening/headlines/20150218-garden-calendar-have-you-pruned-your-roses-yet-do-you-know-how.ece,dallasnews.com,2015-02-19T00:45:00.000Z,2026-09-04T15:34:05.892171+00:00,run_20260904T153135Z_39282a1e,http_error,404,https://www.dallasnews.com/lifestyles/home-and-gardening/headlines/20150218-garden-calendar-have-you-pruned-your-roses-yet-do-you-know-how.ece,HTTP 404,,,,,,
6a9ae5bcd419491408214555,20150219013000-T434,http://www.extremnews.com/nachrichten/natur-und-umwelt/d50d15393a138b6,http://www.extremnews.com/nachrichten/natur-und-umwelt/d50d15393a138b6,extremnews.com,2015-02-19T01:30:00.000Z,2026-09-04T15:34:07.836355+00:00,run_20260904T153135Z_39282a1e,http_error,522,http://www.extremnews.com/nachrichten/natur-und-umwelt/d50d15393a138b6,HTTP 522,,,,,,
6a9ae5bcd419491408214556,20150219043000-177,http://thepinoy.net/?p=10125,http://thepinoy.net/?p=10125,thepinoy.net,2015-02-19T04:30:00.000Z,2026-09-04T15:34:48.378953+00:00,run_20260904T153135Z_39282a1e,http_error,404,https://thepinoy.net/?p=10125,HTTP 404,,,,,,
6a9ae5bcd419491408214557,20150219103000-1257,http://www.scientificamerican.com/naturejobs/?method=job&id=490555,http://www.scientificamerican.com/naturejobs/?method=job&id=490555,scientificamerican.com,2015-02-19T10:30:00.000Z,2026-09-04T15:34:51.511390+00:00,run_20260904T153135Z_39282a1e,http_error,404,https://www.scientificamerican.com/naturejobs/?method=job&id=490555,HTTP 404,,,,,,
6a9ae5bcd419491408214558,20150219103000-109,http://www.dailytarheel.com/article/2015/02/board-of-governors-recommend-center-on-poverty-work-and-opportunity-to-be-closed,http://www.dailytarheel.com/article/2015/02/board-of-governors-recommend-center-on-poverty-work-and-opportunity-to-be-closed,dailytarheel.com,2015-02-19T10:30:00.000Z,2026-09-04T15:34:54.009919+00:00,run_20260904T153135Z_39282a1e,http_error,404,https://dailytarheel.com/article/2015/02/board-of-governors-recommend-center-on-poverty-work-and-opportunity-to-be-closed,HTTP 404,,,,,,
6a9ae5bcd419491408214559,20150219104500-937,http://www.illawarramercury.com.au/story/2895304/environment-fears-if-radical-overhaul-ratified/,http://www.illawarramercury.com.au/story/2895304/environment-fears-if-radical-overhaul-ratified/,illawarramercury.com.au,2015-02-19T10:45:00.000Z,2026-09-04T15:34:59.746841+00:00,run_20260904T153135Z_39282a1e,success,200,https://www.illawarramercury.com.au/story/2895304/environment-fears-if-radical-overhaul-ratified/,,Environment fears if 'radical' overhaul ratified,Alex Arnold,2015-02-19,en-au,"There are claims that NSW could see unprecedented levels of land clearing and threatened species will become extinct if the ""radical"" recommendations of a review of NSW Biodiversity Legislation are adopted by the NSW government.\nSubscribe now for unlimited access.\nor signup to continue reading\nIt recommends repealing the Native Vegetation Act 2003 as the act ""has not met expectations as a central pillar of biodiversity conservation in NSW"".\nThe panel also recommends repealing the Threatened Species Conservation Act 1995 and parts of the National Parks and Wildlife Act 1974 Act and ""reconstituting elements of them in a new Biodiversity Conservation Act"".\nGreens candidate for Kiama, Terry Barratt, said the report portrayed current biodiversity legislation as an impediment to agricultural and other types of development, rather than recognising that it was there to protect NSW's biodiversity.\nMr Barratt said the proposed approach was ""radical"" and intended to clear away the obstacles and responsibilities biodiversity protection laws impose on the corporate farming, mining and development industries.\nHe said the failure to achieve legislative biodiversity objectives was largely due to poor government resource allocation, rather than inadequate legislation.\n""Both Labor and Liberal governments have for years been progressively reducing the capacity of government departments to respond to the challenges associated with biodiversity protection,"" Mr Barratt said.\nGerroa Environmental Protection Society secretary, Howard Jones, said current laws helped protect areas such as the Illawarra escarpment.\nThe report acknowledged some its proposals could lead to a loss of biodiversity and that its approach was ""risk-based"", Mr Jones said.\nHe was worried that voluntary conservation agreements could be swapped for ""biodiversity-offsetting agreements"".\n""When we signed the VCA [voluntary conservation agreement] on our property, we thought its biodiversity values would be conserved forever,"" Mr Jones said.\n""We are horrified to think that at some time in the future our VCA-protected land in this remarkable rainforest could become a tool to enable vegetation destruction in other areas.""\nHowever, Kiama MP Gareth Ward said the proposals would ""modernise and simplify"" an ageing set of biodiversity laws.\n""The proposals in this report offer a once-in-a-generation opportunity to ... put in place a new law that will drive positive biodiversity conservation outcomes in NSW,"" Mr Ward said.\n""The report recommends the NSW government consider significant additional investment in private land conservation and our threatened species programs.\n""The panel has made it clear that their recommendations should be implemented as an integrated package of reforms.\n""This is necessary to ensure that we achieve our dual objectives to facilitate ecologically sustainable development and to conserve our environment.""",2916
6a9ae5bcd41949140821455a,20150219124500-T930,http://www.balsas.lt/susije/prie%C5%A1%20100/,http://www.balsas.lt/susije/prie%C5%A1%20100/,balsas.lt,2015-02-19T12:45:00.000Z,2026-09-04T15:35:02.437629+00:00,run_20260904T153135Z_39282a1e,http_error,403,https://www.tv3.lt/,HTTP 403,,,,,,
